# Opcode Dispatch Table from libgame.so
# 114 entries, sorted ascending

0x0001  d1=0x8F  d2=0x0F  
0x0003  d1=0x0C  d2=0x0D  
0x0006  d1=0x0A  d2=0x0D  
0x000D  d1=0x09  d2=0x0C  
0x001A  d1=0x23  d2=0x0B  
0x002C  d1=0xA5  d2=0x25  
0x0036  d1=0x21  d2=0x0A  
0x003B  d1=0x21  d2=0x09  
0x004E  d1=0x20  d2=0x23  
0x0068  d1=0x3F  d2=0x22  
0x006F  d1=0x1E  d2=0x09  
0x008A  d1=0x3E  d2=0x21  
0x008F  d1=0xC1  d2=0x41  
0x00AB  d1=0x3D  d2=0x20  
0x00B7  d1=0x3C  d2=0x20  
0x00CB  d1=0x3D  d2=0x3F  
0x00E5  d1=0x1C  d2=0x08  
0x00F5  d1=0x3B  d2=0x1F  
0x00F6  d1=0x3B  d2=0x3E  
0x0125  d1=0x3A  d2=0x3D  
0x0144  d1=0x39  d2=0x1E  
0x0160  d1=0x39  d2=0x3C  
0x01A4  d1=0x38  d2=0x3B  
0x01B1  d1=0x38  d2=0x1D  
0x01DA  d1=0x19  d2=0x07  
0x01F8  d1=0x37  d2=0x3A  
0x0240  d1=0x36  d2=0x1C  
0x025C  d1=0x36  d2=0x39  
0x02D4  d1=0x35  d2=0x38  
0x0303  d1=0x34  d2=0x1B  
0x0363  d1=0x34  d2=0x37  
0x03D8  d1=0x17  d2=0x06  
0x0406  d1=0x33  d2=0x1A  
0x040F  d1=0x33  d2=0x36  
0x04DE  d1=0x32  d2=0x35  
0x055C  d1=0x31  d2=0x19  
0x05CD  d1=0x32  d2=0x34  
0x0706  d1=0x30  d2=0x33  
0x072F  d1=0x30  d2=0x18  
0x080B  d1=0x14  d2=0x05  
0x0861  d1=0x4F  d2=0x32  
0x09A1  d1=0x2E  d2=0x17  
0x09F8  d1=0x4E  d2=0x31  
0x0A40  d1=0xD0  d2=0x51  
0x0BB6  d1=0x4D  d2=0x30  
0x0BFB  d1=0x4D  d2=0x30  
0x0CEF  d1=0x2D  d2=0x16  BUILD
0x0D51  d1=0x4D  d2=0x4F  
0x0E74  d1=0x4B  d2=0x2F  
0x0F6B  d1=0x4B  d2=0x4E  
0x1114  d1=0x12  d2=0x04  
0x1177  d1=0x4A  d2=0x2E  
0x1182  d1=0x2B  d2=0x15  
0x119C  d1=0x4A  d2=0x4D  
0x1424  d1=0x4A  d2=0x4C  
0x1518  d1=0x49  d2=0x2D  
0x174E  d1=0x48  d2=0x4B  
0x17B9  d1=0x2A  d2=0x14  
0x19A8  d1=0x48  d2=0x2C  
0x1AA9  d1=0x48  d2=0x4A  
0x1EDF  d1=0x57  d2=0x49  
0x1F33  d1=0x46  d2=0x2B  
0x207C  d1=0x28  d2=0x13  
0x2379  d1=0x57  d2=0x48  
0x2516  d1=0xD8  d2=0x59  
0x2586  d1=0x10  d2=0x03  
0x261F  d1=0x45  d2=0x2A  
0x293C  d1=0x56  d2=0x47  
0x299A  d1=0x56  d2=0x47  
0x2CF2  d1=0x27  d2=0x12  
0x2E17  d1=0xDF  d2=0x60  
0x2EAE  d1=0x5D  d2=0x57  
0x2EF1  d1=0x44  d2=0x29  
0x2FE8  d1=0x54  d2=0x46  
0x32B4  d1=0x5D  d2=0x56  
0x34EE  d1=0x5C  d2=0x56  
0x375E  d1=0x69  d2=0x66  
0x37D8  d1=0x53  d2=0x45  
0x3824  d1=0x63  d2=0x5E  
0x3A0D  d1=0x43  d2=0x28  
0x3BDD  d1=0x5B  d2=0x55  
0x3C3D  d1=0x63  d2=0x5D  
0x3E22  d1=0x63  d2=0x5D  
0x3F25  d1=0x26  d2=0x11  
0x412C  d1=0x52  d2=0x44  
0x415E  d1=0xE9  d2=0x6A  
0x41CF  d1=0x68  d2=0x64  
0x438E  d1=0x5A  d2=0x54  
0x44D9  d1=0x61  d2=0x5C  
0x4639  d1=0x67  d2=0x63  
0x47E5  d1=0x67  d2=0x63  
0x484C  d1=0x41  d2=0x27  
0x4B85  d1=0x6E  d2=0x6D  
0x4C0F  d1=0x6B  d2=0x68  
0x4CA9  d1=0x60  d2=0x5B  
0x4D04  d1=0x51  d2=0x43  
0x4D1C  d1=0x59  d2=0x53  
0x4F46  d1=0x66  d2=0x62  
0x504F  d1=0xEE  d2=0x6F  
0x50E7  d1=0x6D  d2=0x67  
0x5231  d1=0x6A  d2=0x67  
0x5522  d1=0xF0  d2=0x6F  
0x5570  d1=0x5F  d2=0x5A  
0x5597  d1=0x6F  d2=0x6B  
0x5627  d1=0x6C  d2=0x6B  
0x56A8  d1=0x65  d2=0x61  
0x5832  d1=0x58  d2=0x52  
0x59EB  d1=0x71  d2=0x71  
0x5A10  d1=0x70  d2=0x6D  
0x5A1D  d1=0x00  d2=0x40  
0x5A1D  d1=0x0E  d2=0x02  
0x5A7F  d1=0x24  d2=0x10  
0x5AE1  d1=0x40  d2=0x26  
0x5B12  d1=0x50  d2=0x42  
